1,8,125000,2000,21623,12,1801.916667
1,8,250000,2000,42333,12,3527.75
1,8,375000,2000,63557,12,5296.416667
1,8,500000,2000,83454,12,6954.5
1,8,625000,2000,103331,12,8610.916667
1,8,750000,2000,124181,12,10348.41667
1,8,875000,2000,144658,12,12054.83333
1,8,1000000,2000,165103,12,13758.58333
1,8,1125000,2000,185582,12,15465.16667
1,8,1250000,2000,205855,12,17154.58333
1,2,125000,2000,73547,12,6128.916667
1,4,125000,2000,40683,12,3390.25
1,8,125000,2000,21623,12,1801.916667
1,16,125000,2000,12388,12,1032.333333
1,24,125000,2000,8679,12,723.25
1,48,125000,2000,8634,12,719.5
2,8,125000,4000,21758,6,3626.333333
2,8,250000,4000,42518,6,7086.333333
2,8,375000,4000,63753,6,10625.5
2,8,500000,4000,84044,6,14007.33333
2,2,125000,4000,78552,6,13092
2,4,125000,4000,41636,6,6939.333333
2,8,125000,4000,21771,6,3628.5
2,16,125000,4000,12420,6,2070
2,24,125000,4000,8620,6,1436.666667
2,48,125000,4000,8514,6,1419
3,8,125000,6000,21800,4,5450
3,8,250000,6000,42580,4,10645
3,8,375000,6000,63663,4,15915.75
3,8,500000,6000,83944,4,20986
3,2,125000,6000,81934,4,20483.5
3,4,125000,6000,41595,4,10398.75
3,8,125000,6000,21866,4,5466.5
3,16,125000,6000,12450,4,3112.5
